id,url,title,price,latitude,longitude,metro_name,metro_distance,distanceType,update_time,metro_distance_coords
328160407,https://arenda.mirkvartir.ru/328160407/,"Студия, 25 м2, 3/22 этаж",35000,59.93929290771485,30.43702888488769,Ладожская,,0.0,2026-04-02T22:35:13.733,0.007177980391486503
254846782,https://arenda.mirkvartir.ru/254846782/,"1-комн. квартира, 31 м2, 4/18 этаж",28000,60.066949,30.430799,Девяткино,,0.0,2026-04-08T21:57:12.637,0.02021726810748833
260635589,https://arenda.mirkvartir.ru/260635589/,"3-комн. квартира, 144.6 м2, 9/23 этаж",235000,59.957354,30.343914,Горьковская,,0.0,2026-04-08T22:01:36.013,0.025090775712404
338944724,https://arenda.mirkvartir.ru/338944724/,"1-комн. квартира, 40 м2, 2/17 этаж",40000,59.82076263,30.34119987,Звездная,,0.0,2026-04-07T00:01:34.673,0.01497281379720975
334686974,https://arenda.mirkvartir.ru/334686974/,"1-комн. квартира, 33 м2, 11/16 этаж",58000,59.934285,30.434006,Ладожская,,0.0,2026-04-08T22:43:24.393,0.00544548921953008
358396140,https://arenda.mirkvartir.ru/358396140/,"2-комн. квартира, 54 м2, 10/18 этаж",47000,59.91424942,30.51153946,Улица Дыбенко,,0.0,2026-04-08T01:48:57.51,0.029040012172795244
344992970,https://arenda.mirkvartir.ru/344992970/,"Студия, 53 м2, 2/7 этаж",110000,59.98319781523496,30.245431124261707,Крестовский остров,,0.0,2026-04-10T00:43:19.637,0.01807599339319239
259204437,https://arenda.mirkvartir.ru/259204437/,"Студия, 28 м2, 5/11 этаж",43000,59.993298,30.356948,Политехническая,,0.0,2026-04-08T21:59:40.747,0.020889546158067943
339459392,https://arenda.mirkvartir.ru/339459392/,"1-комн. апартаменты, 36 м2, 2/8 этаж",60000,59.918458,30.333547,Фрунзенская,,0.0,2026-04-02T04:57:23.673,0.020188799716674782
340461172,https://arenda.mirkvartir.ru/340461172/,"1-комн. квартира, 35 м2, 6/13 этаж",63000,59.90402603,30.34758759,Фрунзенская,,0.0,2026-04-02T05:01:33.58,0.030221237651508307
337321088,https://arenda.mirkvartir.ru/337321088/,"1-комн. квартира, 38.4 м2, 20/25 этаж",52000,59.858033,30.406104,Проспект Славы,,0.0,2026-04-07T23:35:26.34,0.010752179499988622
326073919,https://arenda.mirkvartir.ru/326073919/,"1-комн. квартира, 40 м2, 7/12 этаж",39000,60.032506,30.296833,Озерки,,0.0,2026-04-02T03:02:49.533,0.025260925007807657
358699911,https://arenda.mirkvartir.ru/358699911/,"Студия, 25 м2, 8/23 этаж",31000,59.915057,30.47001,Улица Дыбенко,,0.0,2026-03-31T07:43:45.417,0.015316901567874226
358644325,https://arenda.mirkvartir.ru/358644325/,"1-комн. квартира, 42 м2, 6/14 этаж",70000,59.93737411,30.41653252,Ладожская,,0.0,2026-04-02T07:38:14.77,0.02312760547844323
358752524,https://arenda.mirkvartir.ru/358752524/,"1-комн. квартира, 42 м2, 19/25 этаж",38000,59.842956,30.247551,Проспект Ветеранов,,0.0,2026-03-27T20:58:53.18,0.0043602998761566114
358698934,https://arenda.mirkvartir.ru/358698934/,"1-комн. квартира, 28 м2, 6/12 этаж",35000,59.858409631373526,30.246072883605944,Проспект Ветеранов,,0.0,2026-04-01T20:22:05.66,0.017480716293154567
