id,url,title,price,latitude,longitude,metro_name,metro_distance,distanceType,update_time
358185942,https://arenda.mirkvartir.ru/358185942/,"3-комн. квартира, 87 м2, 5/5 этаж",60000,59.86746216,30.25802612,Ленинский проспект,,0.0,2026-04-09T01:41:44.21
348770386,https://arenda.mirkvartir.ru/348770386/,"1-комн. квартира, 45 м2, 8/9 этаж",61000,59.940693,30.262436,Приморская,,0.0,2025-08-19T18:49:13
357725656,https://arenda.mirkvartir.ru/357725656/,"6-комн. квартира, 370 м2, 4/4 этаж",490000,59.949217,30.351747,Горьковская,,0.0,2026-03-29T02:04:07.257
349210445,https://arenda.mirkvartir.ru/349210445/,"1-комн. квартира, 45 м2, 16/25 этаж",43000,59.869724,30.161825,,,,2025-08-29T20:02:47
349273614,https://arenda.mirkvartir.ru/349273614/,"2-комн. квартира, 62 м2, 18/22 этаж",72000,59.982895,30.390253,,,,2025-08-30T11:25:00
357004021,https://arenda.mirkvartir.ru/357004021/,"Студия, 23 м2, 7/28 этаж",20999,59.99741,30.481455,,,,2026-04-10T01:17:19.22
352500739,https://arenda.mirkvartir.ru/352500739/,"2-комн. квартира, 49 м2, 8/9 этаж",53000,59.93590927,30.40955353,Площадь Александра Невского 1,,0.0,2026-04-01T19:45:32.513
350635744,https://arenda.mirkvartir.ru/350635744/,"1-комн. квартира, 25 м2, 26/26 этаж",54000,59.86328,30.465733,Пролетарская,,0.0,2025-09-25T08:27:49
349211309,https://arenda.mirkvartir.ru/349211309/,"1-комн. квартира, 35 м2, 3/9 этаж",80000,59.905296,30.42022,Елизаровская,,0.0,2025-08-29T08:14:00
349277778,https://arenda.mirkvartir.ru/349277778/,"2-комн. квартира, 37 м2, 4/13 этаж",50000,59.879387,30.418596,Елизаровская,,0.0,2025-08-30T08:50:00
358861468,https://arenda.mirkvartir.ru/358861468/,"1-комн. квартира, 32 м2, 8/13 этаж",35000,59.83637920668095,30.114095085983287,,,,2026-04-01T20:16:26.22
352842052,https://arenda.mirkvartir.ru/352842052/,"1-комн. квартира, 35.5 м2, 1/5 этаж",35000,59.75285192697963,30.370685510607686,,,,2026-04-03T00:35:38.857
358759677,https://arenda.mirkvartir.ru/358759677/,"1-комн. квартира, 42 м2, 6/8 этаж",33000,59.85826182560214,30.168928921142935,Проспект Ветеранов,,0.0,2026-03-27T22:05:06.78
357545971,https://arenda.mirkvartir.ru/357545971/,"1-комн. квартира, 30 м2, 7/9 этаж",30000,59.7344017,30.56961441,,,,2026-03-31T06:33:33.05
349134906,https://arenda.mirkvartir.ru/349134906/,"3-комн. квартира, 70 м2, 4/9 этаж",90000,59.733105,30.56729,,,,2025-08-27T21:46:52
